iter	Passed	Remaining
0	0	89
1	1	87
2	2	83
3	3	81
4	4	80
5	4	78
6	5	76
7	6	75
8	7	73
9	8	72
10	8	71
11	9	69
12	10	68
13	11	68
14	11	67
15	12	65
16	13	64
17	14	64
18	14	63
19	15	62
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	56
27	21	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	48
38	30	47
39	31	46
40	32	46
41	32	45
42	33	44
43	33	43
44	34	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	23
69	53	23
70	54	22
71	55	21
72	55	20
73	56	19
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
